"StateNum","State","Frequency","Pct","WtPct"
1,"Alabama",8652,1.86,"1.50"
2,"Alaska",4388,0.94,"0.22"
4,"Arizona",14867,3.2,"2.05"
5,"Arkansas",5258,1.13,"0.91"
6,"California",8832,1.9,"11.89"
8,"Colorado",13399,2.88,"1.66"
9,"Connecticut",7950,1.71,"1.14"
10,"Delaware",4300,0.93,"0.29"
11,"District of Columbia",4074,0.88,"0.22"
12,"Florida",9821,2.11,"6.37"
13,"Georgia",6351,1.37,"3.07"
15,"Hawaii",7247,1.56,"0.45"
16,"Idaho",5487,1.18,"0.48"
17,"Illinois",5052,1.09,"3.98"
18,"Indiana",11530,2.48,"2.02"
19,"Iowa",8130,1.75,"0.96"
20,"Kansas",13743,2.96,"0.88"
21,"Kentucky",11197,2.41,"1.37"
22,"Louisiana",6781,1.46,"1.42"
23,"Maine",9137,1.97,"0.43"
24,"Maryland",12569,2.7,"1.87"
25,"Massachusetts",15654,3.37,"2.16"
26,"Michigan",8466,1.82,"3.10"
27,"Minnesota",16419,3.53,"1.69"
28,"Mississippi",4205,0.9,"0.91"
29,"Missouri",7081,1.52,"1.88"
30,"Montana",7502,1.61,"0.32"
31,"Nebraska",22420,4.82,"0.57"
32,"Nevada",3763,0.81,"0.87"
33,"New Hampshire",6192,1.33,"0.43"
34,"New Jersey",13045,2.81,"2.80"
35,"New Mexico",8937,1.92,"0.64"
36,"New York",6865,1.48,"6.25"
37,"North Carolina",7289,1.57,"3.09"
38,"North Dakota",7786,1.68,"0.23"
39,"Ohio",10933,2.35,"3.61"
40,"Oklahoma",8448,1.82,"1.19"
41,"Oregon",5227,1.12,"1.25"
42,"Pennsylvania",11000,2.37,"4.06"
44,"Rhode Island",6450,1.39,"0.34"
45,"South Carolina",11027,2.37,"1.51"
46,"South Dakota",7401,1.59,"0.26"
47,"Tennessee",5142,1.11,"2.04"
48,"Texas",15436,3.32,"8.01"
49,"Utah",15006,3.23,"0.83"
50,"Vermont",6475,1.39,"0.20"
51,"Virginia",9472,2.04,"2.62"
53,"Washington",10092,2.17,"2.20"
54,"West Virginia",6199,1.33,"0.59"
55,"Wisconsin",7045,1.52,"1.79"
56,"Wyoming",6416,1.38,"0.18"
66,"Guam",2518,0.54,"0.04"
72,"Puerto Rico",5988,1.29,"1.13"
